dt,AverageTemperature,Country,gas_production
1990,22.7143,Tanzania,
1990,26.5907,Thailand,67.499
1990,27.5168,Togo,0.0
1990,23.6397,Tonga,
1990,20.929,Tunisia,4.351
1990,12.0325,Turkey,2.258
1990,15.9264,Turkmenistan,792.426
1990,23.2671,Uganda,
1990,9.40083,Ukraine,265.941
1990,28.2601,United Arab Emirates,196.072
1990,9.67458,United Kingdom,476.039
1990,9.52158,United States,4833.779
1990,17.7036,Uruguay,0.0
1990,13.4631,Uzbekistan,368.06
1990,25.5948,Venezuela,243.817
1990,24.2741,Vietnam,0.386
1990,23.4019,Western Sahara,
1990,26.6407,Yemen,0.0
1990,22.2193,Zambia,0.0
1990,22.1303,Zimbabwe,0.0
