dt,AverageTemperature,Country,gas_production
2013,20.0211,Syria,49.952
2013,23.015,Taiwan,
2013,6.56262,Tajikistan,0.141
2013,22.7728,Tanzania,
2013,27.8649,Thailand,389.347
2013,27.718,Togo,0.0
2013,24.2859,Tonga,
2013,21.8871,Tunisia,20.371
2013,14.0266,Turkey,5.725
2013,18.6135,Turkmenistan,589.614
2013,24.0246,Uganda,
2013,10.9135,Ukraine,201.586
2013,29.3706,United Arab Emirates,532.35
2013,8.9975,United Kingdom,369.804
2013,11.2971,United States,6556.927
2013,16.7544,Uruguay,0.0
2013,16.1883,Uzbekistan,559.02
2013,25.9129,Venezuela,305.905
2013,25.2321,Vietnam,94.097
2013,23.7443,Western Sahara,
2013,28.1298,Yemen,103.53
2013,21.196,Zambia,0.0
2013,20.7107,Zimbabwe,0.0
